accession,n_samples,undifferentiated_arm,differentiated_arm,diagnosis,intervention,verdict,code,reason,title,n_samples_gds,axis
GSE215307,375,False,False,True,False,AUS,A1,no undifferentiated arm,Cancer-Associated Fibroblasts are the Main Source of Epithelial-to-Mesenchymal Signaling in the Tumor Microenvironment,375.0,OI
GSE211729,126,False,False,True,False,AUS,A1,no undifferentiated arm,"Adipose-enriched peri-tumoral stroma, in contrast to myofibroblast-enriched stroma, prognosticates poorer survival in breast cancers.",126.0,MPS
GSE18732,118,False,False,False,False,AUS,A2,no diagnosis as the lesion axis,mRNA expression data from skeletal muscle of type 2 diabetes,118.0,MPS
GSE233504,102,False,False,True,False,AUS,A1,no undifferentiated arm,Adipocyte associated glucocorticoid signaling regulates normal fibroblast function which is lost in inflammatory arthritis,102.0,MPS
GSE58250,102,False,False,False,False,AUS,A2,no diagnosis as the lesion axis,Multi-Omic Integrated networks connect DNA methylation and miRNA with skeletal muscle plasticity to chronic exercise in type 2 diabetic obesity,102.0,MPS
GSE190042,93,False,False,True,False,AUS,A1,no undifferentiated arm,Integration between MCL1 gene co-expression module and the Revised International Staging System enables precise prognostication and prediction of response to proteasome inhibitor-based therapy in individual multiple myeloma,93.0,FGFR3
GSE176307,90,False,True,True,False,AUS,A1,no undifferentiated arm,Fibroblast Growth Factor Receptor 3 Alterations and Response to Immune Checkpoint Inhibition in Metastatic Urothelial Cancer: A Real World Experience,90.0,FGFR3
GSE244375,78,False,True,True,False,AUS,A1,no undifferentiated arm,Chondrodysplasia-inducing COL2A1 p.Gly1170Ser causes an ER storage defect without associated unfolded protein response in chondronoids,78.0,free text: dysplasia
GSE120558,66,False,True,True,False,AUS,A1,no undifferentiated arm,Gain of function DNMT3A mutations cause microcephalic dwarfism and hypermethylation of Polycomb-regulated regions,66.0,free text: short stature
GSE125168,62,True,False,False,True,AUS,A2,no diagnosis as the lesion axis,PLZF targets developmental enhancers for activation during osteogenic differentiation of human mesenchymal stem cells,62.0,PSACH / MED
GSE34074,60,False,False,False,False,AUS,A2,no diagnosis as the lesion axis,Genome-wide microarray analysis of normal human fibroblasts in response to genistein,60.0,MPS
GSE43515,54,False,False,False,False,AUS,A2,no diagnosis as the lesion axis,Effect of MWCNT on Lung Fibroblast gene expression,54.0,OI
GSE75234,49,False,False,True,False,AUS,A1,no undifferentiated arm,The histone H3.3K36M mutation reprograms the epigenome of chondroblastomas,49.0,CCD / CMPD
GSE43692,48,False,False,False,False,AUS,A2,no diagnosis as the lesion axis,"Genome-wide microarray analysis of normal human fibroblasts in response to kaemferol, daidzein, kaemferol/genistein, and daidzein/genistein",48.0,MPS
GSE333317,48,False,False,False,False,AUS,A2,no diagnosis as the lesion axis,Adrenal-derived factors drive progression of sclerotic prostate cancer  in bone,48.0,OI
GSE44147,48,False,False,False,False,AUS,A2,no diagnosis as the lesion axis,Transcriptomic effects of caloric restriction reflected in primate difference,48.0,free text: short stature
