n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,punkt,datensatz,arm,satz_a,n_gene_messbar,bestanden
6,39,1.7646642266776593,-0.006342072606988027,0.6621946910918726,2.6744495585799535,0.0050997450127493625,1.847803062450255,ok,1,LAMA5-KO (chondr),chondrogen,CHONDROGEN,22897,True
12,33,-0.09970983672389294,-0.0014236082044101431,0.4760209374478036,-0.2064745913203871,1.0,1.33143501664944,ok,2,LAMA5-KO (osteo),osteogen,OSTEOGEN,22897,False
12,49,0.27548242503722264,-0.0028858296394782524,0.3914839773482725,0.7110591257456714,0.48027598620068995,1.0932693069356847,ok,3,FN1 FNC123R,chondrogen,CHONDROGEN,27598,False
12,49,0.17303954240162361,-0.0034117819168984283,0.42001677582648134,0.4201054207211432,0.680265986700665,1.1726351903972492,ok,4,FN1 FNC231W,chondrogen,CHONDROGEN,27598,False
1,10,,,,,,,zu wenige Gene,5,SERPINA3-KD,chondrogen,CHONDROGEN,3554,False
16,48,-0.2136244875825531,-0.0044170912518185475,0.3010898634131799,-0.6948337415253439,1.0,0.8386345263050851,ok,6,MIR181A1HG-KD,osteogen,OSTEOGEN,35536,False
11,26,-0.12012434337826469,0.0025934842102894747,0.3847048027879443,-0.31899219011361885,1.0,1.0797669320165333,ok,7,LINC01638-KD (GSE227512),osteogen,OSTEOGEN,12031,False
12,62,0.34208883659526307,-0.0005375703788439708,0.41465059239519475,0.8263015012108242,0.4100794960251987,1.1604840883277012,ok,8,ARSB / MPS VI (GSE218101),chondrogen,CHONDROGEN,22424,False
12,53,0.6064551173384733,-0.004151859449601629,0.3211654954419882,1.9012222217326216,0.057397130143492826,0.8951115277879652,ok,9,ACVR1 / FOP (GSE221128),chondrogen,CHONDROGEN,25275,False
17,56,-0.17436916291351234,0.0002929029555882903,0.20980502605134937,-0.8324970528892498,1.0,0.5877469758993664,ok,10,RNF4-KD (GSE205432),osteogen,OSTEOGEN,33151,False
11,44,-0.4313540563963038,0.0037343201093355534,0.4226090447826177,-1.0295292584886364,1.0,1.187039645500665,ok,11,RB1 +/- (GSE245585),osteogen,OSTEOGEN,15232,False
17,54,-0.10327827646110613,0.0010868534363400386,0.1817057436154767,-0.5743634065761964,1.0,0.5098629355596748,ok,12,Nonunion (GSE226565),osteogen,OSTEOGEN,17070,False
4,9,-0.45822282839797024,-0.0019390873000433861,0.5896228412654321,-0.7738569627300452,1.0,1.6490048682431664,ok,13,SERPINA3-KD osteo (GSE247528),osteogen,OSTEOGEN,3253,False
14,40,0.7155908606586632,-0.0020038195905406134,0.3369180243593362,2.129879164564556,0.03399830008499575,0.9413666486156007,ok,14,ERCC6L2-KD (GSE190542),osteogen,OSTEOGEN,18543,True
18,55,-0.0842334860248829,0.0030710518712022804,0.26382928932811295,-0.33091298588728085,1.0,0.7417930619899185,ok,15,TP53 LFS (GSE102732),osteogen,OSTEOGEN,18259,False
11,36,0.056080429518463315,-0.001548382259090317,0.22574222648783748,0.25528591913953924,0.7943602819859007,0.6305298519068546,ok,16,YAP/TAZ-KD (GSE137035),osteogen,OSTEOGEN,12397,False
16,51,0.6278419224287781,7.752892506951437e-05,0.3257950282988666,1.926869163048835,0.053897305134743265,0.9123036081618959,ok,17,RB1-mut isogen (GSE145235),osteogen,OSTEOGEN,16203,False
16,55,0.4675699098515999,0.0007964559404411349,0.33483802729581835,1.3940276069622757,0.16359182040897954,0.9383429323687325,ok,18,RB1-del isogen (GSE145235),osteogen,OSTEOGEN,16264,False
