ebene,dosis,trend_rho,trend_p,y_oberstes,lo_oberstes,hi_oberstes
ATAC GSE224251 osteogen (n=3),dWT_kons,0.7380952380952381,0.03655276105286081,0.041616025009703565,0.02584728947610705,0.05761974859691489
ATAC GSE224251 osteogen (n=3),iv_kons,0.5476190476190477,0.16002564253889653,0.007710939387541823,-0.008433025778922009,0.02480570241097074
ATAC GSE332758 adipogen (n=1),dWT_kons,0.2142857142857143,0.6103444156452669,0.03286235035498643,0.017618785504452537,0.04856011418511968
ATAC GSE332758 adipogen (n=1),iv_kons,0.6904761904761906,0.057990318164572716,0.017909343621928336,0.0027580400599988156,0.033950114455712305
ATAC GSE332758 osteogen (n=1),dWT_kons,0.4761904761904762,0.23293553465009792,0.04205533986844387,0.02604195253316124,0.05757198475777384
ATAC GSE332758 osteogen (n=1),iv_kons,0.523809523809524,0.1827207505397148,0.030577418339727006,0.015090794534557965,0.04689999571782765
DNAm GSE129266 chondrogen (n=2),dWT_kons,-0.19047619047619052,0.6514014957024814,0.003102978079662987,-0.012710132329381962,0.019623062074501374
DNAm GSE129266 chondrogen (n=2),iv_kons,0.28571428571428575,0.49272624501695717,0.0077752836932607995,-0.008459734396945728,0.02452308091709804
DNAm GSE33896 myogen (n=3),dWT_kons,-0.6190476190476191,0.10173303745426478,-0.0030943231645218666,-0.02289191708944443,0.015414489346773615
DNAm GSE33896 myogen (n=3),iv_kons,-0.8333333333333335,0.010175540123456752,0.0038528489941897152,-0.015445752488038365,0.022863814489116504
DNAm GSE33896 osteogen (n=3),dWT_kons,0.28571428571428575,0.49272624501695717,0.0014015451386057548,-0.01678068268484271,0.020667103816940226
DNAm GSE33896 osteogen (n=3),iv_kons,0.0,1.0,-0.008525123921445143,-0.027701445024931746,0.01046924915266761
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,-0.04761904761904763,0.9108491685195836,0.01554899348768129,0.00034443965194606277,0.031185323475699522
H3K27ac GSE129031 chondrogen (n=2),iv_kons,0.4047619047619048,0.3198886412288163,0.014076494991871044,-0.0011687644332130337,0.030288522881924743
