ebene,dosis,spearman_rho,spearman_p,z_basisgeschichtet,p_basisgeschichtet,n,statistik,null,null_sd,z,p
ATAC GSE224251 osteogen (n=3),dWT_kons,0.04476732721870746,2.8725511957393237e-06,3.1647072602379347,0.0016999150042497876,9748,0.017646572965256974,-6.078396593038959e-05,0.003429768630351389,5.162842990191207,9.99950002499875e-05
ATAC GSE224251 osteogen (n=3),iv_kons,0.019003326199157507,0.04706821360315965,2.0962971616668167,0.03899805009749512,9159,0.006869680122212668,-0.00019495522611821234,0.0034586347905416303,2.0426080740443084,0.04229788510574471
ATAC GSE332758 osteogen (n=1),dWT_kons,0.10741985025929254,4.5883850557230945e-31,2.2172404143157136,0.02569871506424679,10344,0.04056554358988552,-0.00011058208785325372,0.0033655366400330866,12.0860742366896,9.99950002499875e-05
ATAC GSE332758 osteogen (n=1),iv_kons,0.03755990867006058,5.2889269063045384e-05,4.614391621276293,9.99950002499875e-05,9752,0.014117677533065948,-0.00012921124316345197,0.0034198599854956173,4.165927504825813,0.000199990000499975
ATAC GSE332758 adipogen (n=1),dWT_kons,0.13975937981632033,1.3734447317395652e-51,2.279619617953528,0.02129893505324734,10344,0.05123255091699447,-9.089433560645322e-05,0.003355754496360852,15.29415972123665,9.99950002499875e-05
ATAC GSE332758 adipogen (n=1),iv_kons,0.02294318201487231,0.0135578190933906,3.2453191179459906,0.000999950002499875,9752,0.008750335088181262,-7.330578460222613e-05,0.003365099017330222,2.622104380091592,0.008499575021248937
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,0.12172808939097651,1.8043260663188424e-39,1.5485648681327209,0.12139393030348483,10344,0.043917895938668405,-0.0001086987382009752,0.003355659575928143,13.120101631492835,9.99950002499875e-05
H3K27ac GSE129031 chondrogen (n=2),iv_kons,0.013731798488883373,0.13955051000973667,2.119597720903142,0.037098145092745366,9752,0.005407549462908135,0.00018023639346050307,0.0033723547816670993,1.5500483809901955,0.1222938853057347
DNAm GSE33896 osteogen (n=3),dWT_kons,0.029718344619425675,0.009397826784986647,-1.461501349690893,1.0,6829,0.011465275711211536,-5.8047590196224475e-05,0.004055392629165054,2.841481542017855,0.004099795010249488
DNAm GSE33896 osteogen (n=3),iv_kons,0.0042713739241686775,0.7089879323614019,0.319493047316699,0.7477626118694065,6435,0.0008534793335829821,0.00015437911843661057,0.0041579079318248046,0.16813749284716686,0.8663566821658917
DNAm GSE33896 myogen (n=3),dWT_kons,0.006678045413273911,0.5595534566893633,0.15630928761769453,0.8747562621868906,6829,0.002614281411903857,-0.00013949189120469687,0.004039210006052993,0.6817603687309803,0.49877506124693766
DNAm GSE33896 myogen (n=3),iv_kons,0.017816169370194524,0.11951263264935269,1.3877085611313136,0.16939153042347882,6435,0.0054797584583576985,-0.00011651839380011455,0.004117039186621318,1.359296474598398,0.16929153542322883
DNAm GSE129266 chondrogen (n=2),dWT_kons,-0.040739876527674135,2.372078212900323e-05,-1.192196448896782,1.0,9616,-0.013551596857334276,-1.3917964999829923e-05,0.0034954821498027933,-3.8729074594468202,1.0
DNAm GSE129266 chondrogen (n=2),iv_kons,0.011446532087512364,0.23519252959564962,1.2162798843464848,0.22148892555372232,9050,0.004385581435358295,-1.9454400674723465e-05,0.003483891325528901,1.2644010459666895,0.2072896355182241
