groesse,n_proben,n_spezimen,rho,null_mittel,null_sd,z,p_perm_oben,mde80_rho,ueber_mde80,nzieh,seed
Positivkontrolle chondrogen-naiv,66,16,0.8604780951712322,0.4265907655069499,0.07651941786606772,5.6702905192472475,4.999750012499375e-05,0.617883071201238,True,20000,20260823
Modul (173 Gene),66,16,0.45606645947538826,0.07778411001597561,0.07884483566046734,4.797807570915932,4.999750012499375e-05,0.27432593279978223,True,20000,20260823
PA309 gegen Modul,66,16,0.8472590880074085,0.36506449279912984,0.08164623791534344,5.905900963964217,4.999750012499375e-05,0.5682087638907254,True,20000,20260823
