"kategorie","OR_eng","lo_eng","hi_eng","k_eng","n_satz_eng","OR_breit","lo_breit","hi_breit","k_breit","n_satz_breit","p_breit","p_bonf_breit","richtung_eng","richtung_breit","ki_eng_aus","ki_breit_aus","fall"
"1_Matrixbestandteile",4.03052120718456,1.26134630927041,9.94749149432929,5,104,3.38320432779416,1.20080342299161,7.73274368329275,6,148,0.0114097758903754,0.0684586553422523,"auf","auf",TRUE,TRUE,"(a) bestaetigt"
"2_Matrixremodellierung",7.91534963534877,1.52854544031851,25.8993563889561,3,33,3.62437760196528,1.13653781736796,8.91299802850699,5,115,0.0154967466556238,0.092980479933743,"auf","auf",TRUE,TRUE,"(a) bestaetigt"
"3_Sekretionsmaschine",0.323637584503417,0.103293102863161,0.775557737940725,5,1127,0.323637584503417,0.103293102863161,0.775557737940725,5,1127,0.00704186184070792,0.0422511710442475,"ab","ab",TRUE,TRUE,"(a) bestaetigt"
"4_TGFb_BMP",0.953758809740996,0.113452736703269,3.56372278960311,2,165,0.537026293973525,0.0134151696369442,3.08774342159323,1,145,1,1,"ab","ab",FALSE,FALSE,"war schon null"
"5_Hypoxie_Stress",0.677936725826925,0.0808329547171385,2.52201650177511,2,230,0.572509941549896,0.0683241720033941,2.12615469066132,2,271,0.588431266284771,1,"ab","ab",FALSE,FALSE,"war schon null"
"6_Zellzyklusausstieg",2.112401498141,1.08850745919498,3.77037780900466,13,515,1.79581029076535,0.926244003595193,3.20155234152037,13,599,0.057241773997431,0.343450643984586,"auf","auf",TRUE,FALSE,"(b) abgeschwaecht"
