punkt,datensatz,arm,variante,n_hintergrund,n_marker_a,n_marker_b,kontrast,null_sd,z,p,status,bestanden
10,RNF4-KD (GSE205432),osteogen,D_marker_voll_hg_voll,33151,17,56,-0.17436916291351234,0.20980502605134937,-0.8324970528892498,1.0,ok,False
11,RB1 +/- (GSE245585),osteogen,A_marker_gef_hg_gef,11125,11,27,-0.6015632477189131,0.4548801735047562,-1.3085371958431342,1.0,ok,False
11,RB1 +/- (GSE245585),osteogen,B_marker_voll_hg_gef,11142,11,44,-0.4313540563963038,0.4322606132569156,-1.0088325774143365,1.0,ok,False
11,RB1 +/- (GSE245585),osteogen,C_marker_gef_hg_voll,15232,11,27,-0.6015632477189131,0.441208054927196,-1.3604844350825656,1.0,ok,False
11,RB1 +/- (GSE245585),osteogen,D_marker_voll_hg_voll,15232,11,44,-0.4313540563963038,0.4226090447826177,-1.0295292584886364,1.0,ok,False
12,Nonunion (GSE226565),osteogen,A_marker_gef_hg_gef,11509,12,27,0.15970372931026655,0.21593288296029184,0.7357817749458272,0.46107694615269235,ok,False
12,Nonunion (GSE226565),osteogen,B_marker_voll_hg_gef,11541,17,54,-0.10327827646110613,0.17242595661002003,-0.5930858589953414,1.0,ok,False
12,Nonunion (GSE226565),osteogen,C_marker_gef_hg_voll,17070,12,27,0.15970372931026655,0.22954656893953818,0.6889245380819664,0.4925753712314384,ok,False
12,Nonunion (GSE226565),osteogen,D_marker_voll_hg_voll,17070,17,54,-0.10327827646110613,0.1817057436154767,-0.5743634065761964,1.0,ok,False
13,SERPINA3-KD osteo (GSE247528),osteogen,A_marker_gef_hg_gef,2284,1,5,,,,,too few genes,False
13,SERPINA3-KD osteo (GSE247528),osteogen,B_marker_voll_hg_gef,2291,4,9,-0.45822282839797024,0.6118699630977862,-0.7360082545339638,1.0,ok,False
13,SERPINA3-KD osteo (GSE247528),osteogen,C_marker_gef_hg_voll,3253,1,5,,,,,too few genes,False
13,SERPINA3-KD osteo (GSE247528),osteogen,D_marker_voll_hg_voll,3253,4,9,-0.45822282839797024,0.5896228412654321,-0.7738569627300452,1.0,ok,False
14,ERCC6L2-KD (GSE190542),osteogen,A_marker_gef_hg_gef,11477,12,27,0.9271248769035383,0.3808162441644896,2.441365438956738,0.015999200039998,ok,True
14,ERCC6L2-KD (GSE190542),osteogen,B_marker_voll_hg_gef,11492,14,40,0.7155908606586632,0.3376806133941278,2.1126802755756717,0.03289835508224589,ok,True
