kohorte,fenster,achse,null,geeicht,ueber_grenze,k,wilson_lo,wilson_hi,n,konkordanz,konkordanz_null,konkordanz_null_sd,konkordanz_z,konkordanz_p,konkordanz_mde80,rang,rang_null,rang_null_sd,rang_z,rang_p
GSE151311,P,differenz,Hintergrund,False,False,100,0.5066777138627924,0.6525565060260167,172,0.5813953488372093,0.5312813953488373,0.0378606312518712,1.3236428403685212,0.20888955552222388,0.6372911628540767,0.03370110726285376,6.633222267841847e-05,0.02189753460502801,1.5360073929259725,0.12109394530273486
GSE151311,P,differenz,H1 basisgeschichtet,False,False,100,0.5066777138627924,0.6525565060260167,172,0.5813953488372093,0.5455014534883721,0.035788392942946376,1.0029479503608631,0.35528223588820557,0.6457089537286219,0.03370110726285376,0.008787989265597207,0.020849665393971806,1.194892940797966,0.22948852557372132
GSE151311,T10,differenz,Hintergrund,False,False,103,0.5242004877663051,0.6691553506701058,172,0.5988372093023255,0.5088683139534883,0.03810451326865577,2.3611086359904867,0.020098995050247488,0.6155609511057245,0.05481831833234469,-1.87514888111464e-05,0.022050822108125968,2.486849222775589,0.012499375031248438
GSE151311,T10,differenz,H1 basisgeschichtet,False,False,103,0.5242004877663051,0.6691553506701058,172,0.5988372093023255,0.5087979651162791,0.038170577103022796,2.3588651526810716,0.02129893505324734,0.6156755810047428,0.05481831833234469,0.0010954599506882395,0.02243170914105291,2.394951630472808,0.016599170041497927
GSE151311,T50,differenz,Hintergrund,False,False,82,0.4034269447206562,0.5510775638825411,172,0.47674418604651164,0.479477034883721,0.03809650411490734,-0.0717348980097098,1.0,0.5861472464054616,0.02956847273180906,-8.031481828007009e-05,0.02208929305926006,1.3422243740688682,0.18209089545522725
GSE151311,T50,differenz,H1 basisgeschichtet,False,False,82,0.4034269447206562,0.5510775638825411,172,0.47674418604651164,0.48311279069767443,0.03739722150269343,-0.17029619836072873,1.0,0.587825010905216,0.02956847273180906,0.0024541468539886514,0.021287710610234847,1.2737079329133778,0.20298985050747462
GSE151311,GB,differenz,Hintergrund,False,False,96,0.48648840418355666,0.6336203113624004,171,0.5614035087719298,0.5374812865497077,0.037919941361600866,0.6308612662161601,0.5741712914354282,0.6436571223621902,0.012000598153290371,4.3609187208976574e-05,0.02209610069608499,0.5411357022010652,0.5879706014699265
GSE151311,GB,differenz,H1 basisgeschichtet,False,False,96,0.48648840418355666,0.6336203113624004,171,0.5614035087719298,0.5340608187134503,0.037353640209873515,0.731995326422084,0.5069746512674367,0.6386510113010961,0.012000598153290371,-0.0027180239781449448,0.021811100040682548,0.6748225492516111,0.49627518624068795
GSE151315,P,osteogen,Hintergrund,False,True,97,0.48924647289670614,0.6358661284445011,172,0.563953488372093,0.44641482558139534,0.03695911224400933,3.180235012537387,0.0024998750062496873,0.5499003398646214,0.09996448590386332,-0.00022664943739752696,0.022058466148518207,4.542071722787999,9.99950002499875e-05
GSE151315,P,osteogen,H1 basisgeschichtet,False,True,97,0.48924647289670614,0.6358661284445011,172,0.563953488372093,0.449989534883721,0.036762044812703475,3.1000439194555,0.00359982000899955,0.5529232603592907,0.09996448590386332,0.0020709973172059874,0.021476117348976774,4.5582489141744915,9.99950002499875e-05
GSE151315,P,adipogen,Hintergrund,False,True,123,0.6435372557719273,0.7772960396484966,172,0.7151162790697675,0.5258305232558139,0.037841268504793066,5.0020985895327,9.99950002499875e-05,0.6317860750692345,0.17331853170704603,7.587535156818026e-05,0.021987214581833763,7.879245263682199,9.99950002499875e-05
GSE151315,P,adipogen,H1 basisgeschichtet,False,True,123,0.6435372557719273,0.7772960396484966,172,0.7151162790697675,0.5207188953488372,0.0380529765263269,5.108598629240914,9.99950002499875e-05,0.6272672296225525,0.17331853170704603,-0.003485461081890116,0.021980090795169712,8.043824497203175,9.99950002499875e-05
GSE151315,P,differenz,Hintergrund,False,False,58,0.27079849649632753,0.4107330637260543,172,0.3372093023255814,0.441825,0.03690169777169326,-2.834983320324838,1.0,0.5451497537607412,-0.06777532867649147,1.8816492508352922e-05,0.021980715707322133,-3.084255584381017,1.0
GSE151315,P,differenz,H1 basisgeschichtet,False,False,58,0.27079849649632753,0.4107330637260543,172,0.3372093023255814,0.44899186046511624,0.03705102741046728,-3.016989431930171,1.0,0.5527347372144247,-0.06777532867649147,0.004909021884258076,0.021788090889608015,-3.3359669247302826,1.0
GSE151315,T10,osteogen,Hintergrund,False,True,122,0.6374572523028311,0.772002170268392,172,0.7093023255813954,0.44718779069767445,0.03693801566048014,7.096064317395274,9.99950002499875e-05,0.5506142345470189,0.16037004755193632,3.823004640384806e-05,0.021825724239072256,7.346002164661623,9.99950002499875e-05
GSE151315,T10,osteogen,H1 basisgeschichtet,False,True,122,0.6374572523028311,0.772002170268392,172,0.7093023255813954,0.4506395348837209,0.03697053745310893,6.996457409518211,9.99950002499875e-05,0.5541570397524259,0.16037004755193632,0.0037158616284341597,0.021520281510428174,7.279374382142333,9.99950002499875e-05
GSE151315,T10,adipogen,Hintergrund,False,True,132,0.6988833151116685,0.8243148359515613,172,0.7674418604651163,0.5242401162790699,0.038146088281228674,6.37553560913148,9.99950002499875e-05,0.6310491634665101,0.1827964537165079,-6.749876280192895e-05,0.02200164835654028,8.311375107717833,9.99950002499875e-05
GSE151315,T10,adipogen,H1 basisgeschichtet,False,True,132,0.6988833151116685,0.8243148359515613,172,0.7674418604651163,0.5144997093023256,0.03782604780071394,6.686983332105254,9.99950002499875e-05,0.6204126431443246,0.1827964537165079,-0.00561727565036256,0.022105884037435013,8.523238837578397,9.99950002499875e-05
GSE151315,T10,differenz,Hintergrund,False,False,68,0.32533233499934777,0.46993795371504055,172,0.3953488372093023,0.4455162790697675,0.0372510953352549,-1.3467373619209013,1.0,0.5498193460084811,-0.04345226872708408,-5.911154745607712e-05,0.022121100414243353,-1.9616183809593841,1.0
GSE151315,T10,differenz,H1 basisgeschichtet,False,False,68,0.32533233499934777,0.46993795371504055,172,0.3953488372093023,0.4590988372093024,0.03712195115508476,-1.7173127493668383,1.0,0.5630403004435397,-0.04345226872708408,0.007965376793018689,0.021711625423814315,-2.368208022956472,1.0
GSE151315,T50,osteogen,Hintergrund,False,True,114,0.5892669362739456,0.7292015035036723,172,0.6627906976744186,0.45321860465116276,0.037550728621498185,5.581039322450685,9.99950002499875e-05,0.5583606447913577,0.1530108306447101,-0.00021355575328462723,0.022031032457936667,6.954934440341934,9.99950002499875e-05
GSE151315,T50,osteogen,H1 basisgeschichtet,False,True,114,0.5892669362739456,0.7292015035036723,172,0.6627906976744186,0.46234534883720935,0.03770045345710742,5.31678880375431,9.99950002499875e-05,0.5679066185171101,0.1530108306447101,0.006469838316902426,0.021594376348879316,6.786071982829581,9.99950002499875e-05
GSE151315,T50,adipogen,Hintergrund,False,True,123,0.6435372557719273,0.7772960396484966,172,0.7151162790697675,0.509678488372093,0.03830978240795704,5.362541308900898,9.99950002499875e-05,0.6169458791143727,0.16798960451714032,-3.8958987664104624e-05,0.022175747369695,7.577131931725981,9.99950002499875e-05
GSE151315,T50,adipogen,H1 basisgeschichtet,False,True,123,0.6435372557719273,0.7772960396484966,172,0.7151162790697675,0.49800261627906983,0.03784818629527117,5.7364350591833855,9.99950002499875e-05,0.6039775379058291,0.16798960451714032,-0.006364487465984512,0.022135819139428477,7.87655929445882,9.99950002499875e-05
GSE151315,T50,differenz,Hintergrund,False,False,71,0.3419002964822234,0.4874916107797669,172,0.4127906976744186,0.46143720930232557,0.03773048420031232,-1.289315858488354,1.0,0.5670825650632001,-0.05023578665678297,-0.00016812047555942513,0.022096966300844293,-2.2658162889677094,1.0
GSE151315,T50,differenz,H1 basisgeschichtet,False,False,71,0.3419002964822234,0.4874916107797669,172,0.4127906976744186,0.4792758720930233,0.037354548148154886,-1.77984148422603,1.0,0.583868606907857,-0.05023578665678297,0.009731577819795124,0.021680529305709496,-2.765954817384735,1.0
