kohorte,eichung,fenster,achse,bestanden,n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80
GSE151311,L,P,differenz,False,18,18,0.08586790191568344,-0.0016681281089173865,0.2440380348494609,0.35869830732983465,0.6610669466526674,0.6816383694695731
GSE151311,L,T10,differenz,False,18,18,-0.0117820800742785,0.0002458507900077196,0.1454108190235213,-0.08271689097865965,1.0,0.4073961440558673
GSE151311,L,T50,differenz,False,18,18,0.044582082139785095,-0.00022736032504028323,0.09072160067355407,0.4939225292779431,0.5403729813509325,0.2537931215609111
GSE151311,L,GB,differenz,False,18,18,-0.010184168870598753,0.0010188887827291024,0.166797662485534,-0.06716555547832977,1.0,0.4680523437422242
GSE151315,D,P,osteogen,False,18,10,0.21100480338855299,-0.0022209546933113287,0.17418445376487798,1.2241377084644192,0.2063896805159742,0.485495515848347
GSE151315,D,P,adipogen,False,18,10,0.5334937422589648,-0.0009221249460980856,0.19747170927666569,2.7062907854629707,0.012199390030498474,0.5519986610285658
GSE151315,D,T10,osteogen,False,18,10,0.20137443292266027,-0.001288257166520928,0.12894984090309874,1.5716397063372498,0.11049447527623618,0.3597712973621555
GSE151315,D,T10,adipogen,False,18,10,0.3672659910002199,-0.0006710972191180688,0.15494746645861462,2.3745924772355758,0.024698765061746914,0.43318180886500285
GSE151315,D,T50,osteogen,False,18,10,0.08778146375670681,-0.0014376462986965216,0.1026505484925452,0.8691537587047838,0.33738313084345783,0.28598388948043
GSE151315,D,T50,adipogen,False,18,10,0.1362279550393609,-0.00044709933963262916,0.11936342935160997,1.145032905986544,0.24438778061096944,0.3337705028448753
GSE151315,D,GB,osteogen,False,18,10,0.06592903464453664,8.371068958940211e-05,0.14113829245273646,0.46653054114989473,0.5916704164791761,0.39527092955725146
GSE151315,D,GB,adipogen,False,18,10,0.17873512848951562,0.0012367291039236715,0.17997827057198726,0.9862212744987823,0.2964851757412129,0.505175886705488
GSE151315,L,P,differenz,False,18,18,-0.18576369750605293,0.0004430626716731912,0.17899621478795938,-1.0402832283258527,1.0,0.5016324640779594
GSE151315,L,T10,differenz,False,18,18,-0.18384192271748256,-3.507377458040075e-05,0.14248829711809158,-1.2899785642786268,1.0,0.398932158156076
GSE151315,L,T50,differenz,False,18,18,-0.2708218235393833,-0.00033376009874221346,0.11845361775323963,-2.28349347678107,1.0,0.33133636961032875
GSE151315,L,GB,differenz,False,18,18,-0.24736921533852213,-0.00035588090323672157,0.16646510644656207,-1.4838745470936314,1.0,0.465746417147137
