groesse,n_proben,n_spezimen,rho,null_mittel,null_sd,z,p_perm_oben,mde80_rho,ueber_mde80,nzieh,seed,anteil_entfernt,n_entfernt,rolle
Modul voll (173 Gene),66,16,0.45606645947538826,0.07778411001597561,0.07884483566046734,4.797807570915932,4.999750012499375e-05,0.27432593279978223,True,20000,20260823,0.0,0,Ausgangswert
Modul ohne die 10 % groessten |Delta| (155 Gene),66,16,0.144359271101854,-0.07511014375154751,0.08021080513699619,2.7361577343421293,0.0018999050047497626,0.12479491952884625,True,20000,20260823,0.1,18,Regel
Modul ohne die 5 % groessten |Delta| (164 Gene),66,16,0.13465390603668037,-0.06742248659029133,0.07491738756384445,2.697323000682086,0.0027498625068746564,0.11879954718408085,True,20000,20260823,0.05,9,deskriptiv
Modul ohne die 20 % groessten |Delta| (138 Gene),66,16,-0.08194927455692959,-0.10601591469248046,0.05983690902723694,0.40220393276992417,0.3457827108644568,0.04234699591299219,False,20000,20260823,0.2,35,deskriptiv
Modul ohne die 30 % groessten |Delta| (121 Gene),66,16,0.20586943247517292,0.04644410540203451,0.0780619885275694,2.042291390217835,0.019399030048497575,0.2402296421688136,False,20000,20260823,0.3,52,deskriptiv
