groesse,n_proben,n_spezimen,rho,null_mittel,null_sd,z,p_perm_oben,mde80_rho,ueber_mde80,nzieh,seed,ebene,abfall_signifikant
Positivkontrolle chondrogen-naiv (CHONDROGEN 12 gegen NAIV_red 9 Gene),13,4,0.3017555901539846,0.02858251723945346,0.19450426557199368,1.4044580056441953,0.08484575771211439,0.5053048919665046,False,20000,20260823,postnatale_fuge,
Modul (173 Gene),13,4,-0.30744909185500324,-0.003051432236660907,0.33705954646839514,-0.9030975766974295,0.8071596420178991,0.8359389793066034,False,20000,20260823,postnatale_fuge,
"Modul gespiegelt (--kontrast, Widerspruchsklausel)",13,4,0.30744909185500324,0.003051432236660907,0.33705954646839514,0.9030975766974295,0.19499025048747562,0.8587129861106777,False,20000,20260823,postnatale_fuge,False
