genkarte,punkt,datensatz,arm,n_gene_messbar,eichung_z_abgelegt,eichung_bestanden_abgelegt,eichung_status_abgelegt,satz_eigen,satz_ander,naiv_kontrast,naiv_z,naiv_mde80,naiv_status,eigen_kontrast,eigen_z,eigen_status,ander_kontrast,ander_z,ander_status,modul_konkordanz,modul_z,modul_mde80,modul_n,i_naiv_faellt,ii_linie_erreicht,iii_modul_ueber_grenze,urteil
voll,1,LAMA5-KO (chondr),chondrogen,22897,2.674449558579953,True,ok,CHONDROGEN,ADIPOGEN,-1.366620117008332,-2.518237642622107,1.5077977042056894,ok,1.7646642266776593,2.6744495585799535,ok,-0.564364173872483,-1.1042255960480485,ok,0.9386503067484664,11.004848100488973,0.6155134728762695,163.0,True,True,True,"Entkopplung, anderer Fall (Linie erreicht)"
voll,2,LAMA5-KO (osteo),osteogen,22897,-0.2064745913203871,False,ok,OSTEOGEN,ADIPOGEN,-1.2658980091364325,-2.5004920937305113,1.412312462785543,ok,-0.09970983672389294,-0.2064745913203871,ok,0.6247003855803235,1.3153286852080723,ok,0.950920245398773,11.400013440877425,0.6101659797683696,163.0,True,False,True,Zerlegung bestaetigt
voll,3,FN1 FNC123R,chondrogen,27598,0.7110591257456714,False,ok,CHONDROGEN,ADIPOGEN,0.11566848065394136,0.28189634603033314,1.170629098232908,ok,0.27548242503722264,0.7110591257456714,ok,-0.6318645575014878,-1.7529068530301757,ok,1.0,12.798465683606894,0.6256131816989474,173.0,False,False,True,nicht zerlegbar
voll,4,FN1 FNC231W,chondrogen,27598,0.4201054207211432,False,ok,CHONDROGEN,ADIPOGEN,0.19682025964147148,0.4443685780031741,1.2540415456143161,ok,0.17303954240162361,0.4201054207211432,ok,-0.777456806001323,-2.0122723447626862,ok,1.0,12.798465683606894,0.6256131816989474,173.0,False,False,True,nicht zerlegbar
voll,5,SERPINA3-KD,chondrogen,3554,,False,zu wenige Gene,CHONDROGEN,ADIPOGEN,,,,zu wenige Gene,,,zu wenige Gene,-0.24671496893753897,-0.3426332583269901,ok,1.0,5.252155437733982,0.7752563263266081,29.0,False,False,True,nicht zerlegbar
voll,6,MIR181A1HG-KD,osteogen,35536,-0.6948337415253439,False,ok,OSTEOGEN,ADIPOGEN,-1.316458534798555,-3.66721780017829,0.9983843959765802,ok,-0.2136244875825531,-0.6948337415253439,ok,0.9191174257473589,3.1831597802036753,ok,0.9705882352941176,12.158090992881238,0.6159871286775684,170.0,True,False,True,Zerlegung bestaetigt
voll,7,LINC01638-KD (GSE227512),osteogen,12031,-0.3189921901136188,False,ok,OSTEOGEN,ADIPOGEN,-1.3017929590219415,-3.172568979043915,1.151706862347226,ok,-0.12012434337826469,-0.31899219011361885,ok,1.257784336762201,2.9238418239318187,ok,0.9777777777777776,11.351203054026596,0.6121169222346029,135.0,True,False,True,Zerlegung bestaetigt
voll,8,ARSB / MPS VI (GSE218101),chondrogen,22424,0.8263015012108242,False,ok,CHONDROGEN,ADIPOGEN,0.041774485824222454,0.09626789566328516,1.250075250141748,ok,0.34208883659526307,0.8263015012108242,ok,-0.1419176535210151,-0.4016510310921204,ok,0.8047337278106509,8.084964153597172,0.6019155869486902,169.0,False,False,True,nicht zerlegbar
voll,9,ACVR1 / FOP (GSE221128),chondrogen,25275,1.9012222217326216,False,ok,CHONDROGEN,ADIPOGEN,-0.8611686083749296,-2.4997054795400833,0.9583691471170844,ok,0.6064551173384733,1.9012222217326216,ok,-0.11888873373924239,-0.39747741719516866,ok,0.9161676646706588,10.239901742897224,0.6272781764791493,167.0,True,False,True,Zerlegung bestaetigt
voll,10,RNF4-KD (GSE205432),osteogen,33151,-0.8324970528892498,False,ok,OSTEOGEN,ADIPOGEN,0.17124918599669797,0.6673120192132309,0.723596386800297,ok,-0.17436916291351234,-0.8324970528892498,ok,0.27442421780837983,1.3255035001986455,ok,0.9248554913294798,11.30119727741911,0.5992854481462122,173.0,False,False,True,nicht zerlegbar
