gse,n_proben,naiver_arm,diff_arm,diagnose,eingriff,urteil,code,begruendung,titel,n_proben_gds,achse
GSE121238,9,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Transciptomic profiling of human fetal lung samples,9.0,FGFR3|CCD_CMPD
GSE222109,9,True,True,True,False,AUS,A2,"iPSC gegen Sklerotom, nur Wildtyp -- keine Diagnose als Laesionsachse",Recapitulation of endochondral ossification by human pluripotent stem cell-derived SOX9+ sclerotomal progenitors,9.0,CCD_CMPD
GSE69206,9,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Comparing effects of perfusion and hydrostatic pressure on human chondrocytes using gene profiles,9.0,OI
GSE64752,9,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Long-term expandable SOX9+ chondrogenic ectomesenchymal cells from human pluripotent stem cells,9.0,OI|CCD_CMPD
GSE61113,9,True,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Surface Topography Enhances Differentiation of Mesenchymal Stem Cells Towards Osteogenic and Adipogenic Lineages,9.0,MPS
GSE283407,9,True,False,True,False,AUS,A1,kein differenzierter Arm,Paracrine regulation of pancreatic cancer cell response to chemotherapy by GLI2-Collagen I signaling,9.0,OI
GSE224139,9,True,True,False,False,AUS,A2,keine Diagnose als Laesionsachse,"Single, off-the-shelf treatment of Neuropathic Mucopolysaccharidoses with iPSC-derived microglia",9.0,MPS
GSE227119,9,False,False,True,False,AUS,A1,kein naiver Arm,Identification of key genes and signaling pathways in microtia by the analysis of transcriptomics,9.0,PSACH_MED
GSE145048,8,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,"GDF5+ chondroprogenitors derived from human pluripotent stem cells, which  resemble embryonic teno/ligamento-genic cells, preferentially form permanent chondrocytes",8.0,CCD_CMPD|FREITEXT_WACHSTUMSFUGE
GSE188354,8,False,False,True,True,AUS,A1,kein naiver Arm,gp130/STAT3 signaling is required for homeostatic proliferation and anabolism in postnatal growth plate and articular chondrocytes,8.0,FREITEXT_WACHSTUMSFUGE
GSE193510,8,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,A miR-125 / Sirtuin-7 pathway drives pro-calcific potential of myeloid cells in diabetic vascular disease,8.0,CCD_CMPD
GSE113343,8,False,False,True,False,AUS,A1,kein naiver Arm,"RNA-seq reported in ""Phosphorylated Lamin A/C in the nuclear interior binds active enhancers associated with abnormal transcription in progeria""",8.0,MPS
GSE186141,8,False,False,True,False,AUS,A1,kein naiver Arm,Phenotypic spectrum and molecular basis in a Chinese cohort of osteogenesis imperfecta with mutations in type I collagen,8.0,OI
GSE273436,8,False,False,True,True,AUS,A1,kein naiver Arm,Voluntary exercise sensitizes cancer immunotherapy via collagen degradation-orchestrated inflammatory tumor immune microenvironment,8.0,OI
GSE77764,8,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Fibroblast growth factor receptor 3 overexpression mediates ALK inhibitor resistance in ALK-rearranged non-small cell lung cancer,8.0,FGFR3
GSE463,8,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Profiling of human bone marrow stromal cell lines HS-5 and HS-27a,8.0,MPS
GSE329742,7,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Mechano-Hypoxia Programs a Coordinated Chondrogenic–Osteochondral Transcriptome in Co-Cultures of Human Nasal Chondrocytes and Bone Marrow–Derived Mesenchymal Stromal Cells,7.0,CCD_CMPD
