dataset,label,n_units,share,n_matching,n_measurable,wilson_lo,wilson_hi,z,p_perm,null_mean,null_sd,mde80,above_mde80,loo_min,loo_max,not_single_unit,share_d3,mde80_d3,above_mde80_d3
GSE247491,Chondrogenesis (SERPINA3 cohort),3,0.6936416184971098,120,173,0.6213631009341666,0.7575073316374946,1.2668692149285241,0.241,0.498571098265896,0.15397842013409374,0.9297106746413585,False,0.653179190751445,0.6936416184971098,True,0.7341040462427746,0.9969298325962925,False
GSE247528,Osteogenesis (SERPINA3 cohort),3,0.7167630057803468,124,173,0.6454798623403831,0.7786288308368495,1.1513009621102146,0.4959,0.5016919075144508,0.18680701688261694,1.0247515547857782,False,0.6473988439306358,0.7456647398843931,True,0.7283236994219653,1.0857807310962737,False
