dataset,label,n_units,unanim_observed,unanim_null_mean,unanim_null_sd,unanim_z,unanim_p,unanim_n_measurable,major_observed,major_null_mean,major_null_sd,major_p,unanim_observed_d3,unanim_null_mean_d3,unanim_p_d3
GSE247491,Chondrogenesis (SERPINA3 cohort),3,68,42.852,17.342265463806672,1.4500988958151926,0.2546,173,172,171.5056,0.49999363932347823,0.5056,60,42.6372,0.2546
GSE247528,Osteogenesis (SERPINA3 cohort),3,62,43.1232,11.15184550313591,1.692706377136576,0.2546,173,173,172.5022,0.5000201616097111,0.5022,63,43.1466,0.2546
