symbol,dWT_kons,iv_kons,basis,atac,im_modul,ri
A1BG,0.4666666666666665,0.3333333333333332,-0.450470207213248,0.198427847819592,False,
A4GALT,0.5,-0.125,-0.574564129555423,0.0888556308240235,False,
AAAS,-0.375,0.375,0.322727972130829,0.1484482276510053,False,
AACS,-0.25,0.125,0.3627850532829405,-0.4016118829454473,False,
AADAT,0.25,-0.25,-0.3382261317148535,0.0561348997846948,False,
AAGAB,-0.25,0.125,0.2247085504657395,0.2101633760677548,False,
AAK1,-0.125,0.125,0.2313467722457758,-0.0612826035763851,False,
AAMDC,0.125,0.5,-0.1513299394381771,0.0980431277061284,False,
AAMP,-0.375,0.0,0.2915881947757515,-0.337421114973933,False,
AAR2,0.625,-0.5,-0.2817593985461655,-0.5183606191525494,False,
AARS2,-0.5555555555555556,-0.1111111111111111,0.5861392172425285,-0.3697385999414797,False,
AASDH,-0.125,0.125,-0.255789225008489,-0.0514880742562313,False,
AASDHPPT,0.375,-0.125,-0.490199721002777,-1.398386083198945,False,
AASS,-0.25,-0.25,-0.003106501443975,-0.105827395887851,False,
AATF,-0.1764705882352941,-0.2941176470588236,0.162882522715423,0.0480341781852251,False,
AATK,-0.0666666666666666,-0.1999999999999999,0.845423734933416,0.2681048021003565,False,
ABAT,0.5,-0.25,-0.5893478124954595,0.2816779957603423,False,
ABCA1,0.375,0.125,-0.2891771349818219,-0.1452270507145399,False,
ABCA10,0.8666666666666667,0.1999999999999999,-0.854549921182605,-0.4252615290635937,False,
ABCA12,-0.3333333333333332,0.4666666666666665,0.20576561104584,-0.4317540853005019,False,
ABCA13,0.1999999999999999,-0.0666666666666666,-0.662066493784586,-0.8329674118148014,False,
ABCA2,0.25,0.125,-0.100611920592368,0.3550917553663792,False,
ABCA3,-0.125,0.125,0.3937261841894269,0.9475681460905012,False,
ABCA4,0.6000000000000001,-0.7333333333333334,-0.733223622289906,-0.4575705688848148,False,
ABCA5,0.375,0.125,-0.465697616449468,0.2993144953039204,False,
ABCA6,0.8666666666666667,0.6000000000000001,-0.821243397314468,0.3710027478142848,True,1.0
ABCA7,0.125,0.0,-0.250022460241089,0.1757192754974665,False,
ABCA9,0.4666666666666665,0.3333333333333332,-0.766258702267473,-0.7881498813766243,False,
ABCB10,-0.1111111111111111,0.2222222222222223,0.138555009716111,0.1681737185972962,False,
ABCB7,0.0,0.125,0.227364877389023,-0.4286090185715723,False,
ABCB8,-0.375,0.25,0.6552819259658209,-0.3784282494716415,False,
ABCB9,-0.75,0.375,0.627496290987015,-0.0985720894510349,False,
ABCC1,-0.25,-0.375,-0.2292066078494194,0.0002774769782756,False,
ABCC10,-0.25,0.25,0.1201295885262323,-0.1480133035924917,False,
ABCC2,0.25,-0.125,-0.212133362428105,-0.8660577945118164,False,
ABCC3,0.75,-0.125,-0.459739373577968,-0.2941534202077114,False,
ABCC4,0.125,0.25,-0.0990336586789374,0.4491509997752883,False,
ABCC5,0.25,0.0,-0.3202550537214065,-0.0853271792308723,False,
ABCC6,0.1999999999999999,0.4666666666666665,-0.520541870325568,0.5760832938543266,False,
ABCC9,0.0,0.125,-0.1419422513086005,-1.5177198532412897,False,
ABCD1,-0.125,0.125,-0.1632854422671535,-0.4946009719450533,False,
ABCD3,-0.25,-0.125,-0.0528160148229451,-0.2408300039929685,False,
ABCD4,0.0,0.25,-0.281795829432018,-0.8536385760632944,False,
ABCF1,-0.3333333333333332,0.0666666666666666,0.391126337672805,0.2078354859849036,False,
ABCF3,-0.125,0.375,0.0295332538065717,-0.0666814031732911,False,
ABCG2,-0.875,0.5,0.3884720464239,0.1240065641862109,True,-1.0
ABCG4,0.0666666666666666,-0.0666666666666666,0.033790487949541,1.0288576851709288,False,
ABHD10,-0.6666666666666667,0.1111111111111111,0.6653892377657284,-0.0825447023092613,False,
ABHD11,-0.375,-0.5,0.4217142886110555,0.0397486031061584,False,
ABHD12,-0.375,0.375,0.5542035965444194,0.0313439289150663,False,
ABHD14A,0.5,0.375,-0.582782614587034,0.8128273656751253,False,
ABHD15,-0.1111111111111111,0.3333333333333332,-0.1540757988101866,1.00864801552037,False,
ABHD17A,-0.125,0.625,0.6156635841779174,0.4468117326973375,False,
ABHD17B,-0.375,0.375,0.6702040301849125,-0.3496799227089311,False,
ABHD17C,-0.25,0.125,0.384721667239673,0.3655874771012508,False,
ABHD2,0.0,0.125,0.1188379651456075,-0.2350489740438655,False,
ABHD3,0.375,-0.25,-0.6364293920000235,0.2331710363462162,False,
ABHD4,0.375,0.125,-0.4365684242169559,-0.2024387054855452,False,
ABHD5,-0.125,-0.125,-0.018655330137866,0.8431316382461739,False,
ABHD6,0.25,0.0,-0.4859403980162305,-0.0209661096084259,False,
ABHD8,-0.3333333333333332,0.5555555555555556,-0.0552889349127467,0.2453340945928368,False,
ABI1,0.125,0.125,-0.0873710678186645,-0.0890459656867044,False,
ABI2,-0.25,0.125,0.3862058506492239,-0.1952775295821038,False,
