analysis,n_studies,omitted_sensitivity,observed_stat,null_mean,null_sd,z,p_upper,seed
primary n>=3 studies,8,GSE37521,1.2059599108623238,2.3163693185779264e-16,0.378952561669086,3.182350597000075,0.0002,20260829
sensitivity all S12+extension,9,none,1.0378249369852106,1.6981971384666395e-16,0.352691031140708,2.9425895340422326,0.001,20260829
