dataset,n_units,n_measurable,share,wilson_lo,wilson_hi,z,p_perm,mde80,above_mde80,loo_share_no_drop
GSE185951,5,173,0.861271676300578,0.8018771779183759,0.9049706440436784,1.434371870862579,0.1877,1.2037403898575612,False,0.695273631840796
GSE161176,3,170,0.6588235294117647,0.5847499075570493,0.7258779505288483,0.947424821140875,0.7427,0.9747737670671364,False,0.7385377942998761
GSE113253,9,125,0.824,0.7478772900602502,0.8808023348167543,1.550267363299651,0.0468,1.086366346328015,False,0.710093896713615
GSE210984,3,173,0.7803468208092486,0.7129343202191124,0.8355795896234418,1.3316576534229727,0.2492,1.0883085021143528,False,0.7126865671641791
GSE202080,11,173,0.8670520231213873,0.808407194291826,0.9097501928216214,1.582180646239307,0.0824,1.150354032187087,False,0.6940298507462687
GSE37521,2,163,0.3619631901840491,0.2921514467631615,0.4381314198691551,-0.291273098726501,1.0,0.8456021618665961,False,0.7972972972972973
GSE200492 (S11-Anker),20,168,0.8988095238095238,0.8439305835549036,0.9358579547850828,1.3241162722890067,0.0902,1.3448232217760978,False,
