schluessel,ebene,kurz,datensatz,achse,einheiten,eichung_z,eichung_ok,z_dwt,p_dwt,zb_dwt,pb_dwt,z_iv,p_iv,zb_iv,pb_iv
ATAC GSE224251 osteogen (n=3),Chromatin,ATAC,GSE224251,osteogen,3,-1.292825753009725,False,5.162842990191207,9.99950002499875e-05,3.1647072602379347,0.0016999150042497,2.0426080740443084,0.0422978851057447,2.0962971616668167,0.0389980500974951
ATAC GSE332758 osteogen (n=1),Chromatin,ATAC,GSE332758,osteogen,1,1.655925842083083,False,12.0860742366896,9.99950002499875e-05,2.2172404143157136,0.0256987150642467,4.165927504825813,0.0001999900004999,4.614391621276293,9.99950002499875e-05
ATAC GSE332758 adipogen (n=1),Chromatin,ATAC,GSE332758,adipogen,1,4.133876459378316,True,15.29415972123665,9.99950002499875e-05,2.279619617953528,0.0212989350532473,2.622104380091592,0.0084995750212489,3.2453191179459906,0.0009999500024998
H3K27ac GSE129031 chondrogen (n=2),Chromatin,H3K27ac,GSE129031,chondrogen,2,,,13.120101631492837,9.99950002499875e-05,1.5485648681327209,0.1213939303034848,1.5500483809901957,0.1222938853057347,2.119597720903142,0.0370981450927453
DNAm GSE129266 chondrogen (n=2),Methylierung,DNAm 450K,GSE129266,chondrogen,2,3.905002241639428,True,-3.87290745944682,1.0,-1.192196448896782,1.0,1.2644010459666897,0.2072896355182241,1.2162798843464848,0.2214889255537223
DNAm GSE33896 osteogen (n=3),Methylierung,DNAm 27K,GSE33896,osteogen,3,,,2.841481542017855,0.0040997950102494,-1.461501349690893,1.0,0.1681374928471668,0.8663566821658917,0.319493047316699,0.7477626118694065
DNAm GSE33896 myogen (n=3),Methylierung,DNAm 27K,GSE33896,myogen,3,,,0.6817603687309803,0.4987750612469376,0.1563092876176945,0.8747562621868906,1.359296474598398,0.1692915354232288,1.3877085611313136,0.1693915304234788
