ebene,kurz,datensatz,achse,zelltyp,einheiten,einheit,messung,schluessel,marker_z,marker_p,marker_n,modul_z,modul_p,modul_n,teilmengen_schlagen_marker,eichung_z,eichung_ok,z_dwt,p_dwt,zb_dwt,pb_dwt,rho_dwt,rhop_dwt,z_iv,p_iv,zb_iv,pb_iv,rho_iv,rhop_iv
Chromatin,ATAC,GSE224251,osteogen,hMSC,3,biologische Replikate,"ATAC-seq, Peakzaehlungen",ATAC GSE224251 osteogen (n=3),-1.10969213086665,1.0,15,3.082547945320633,0.0030998450077496,160,0.9815000000000002,-1.292825753009725,False,5.162842990191207,9.99950002499875e-05,3.1647072602379347,0.0016999150042497,0.0447673272187074,0.0531428912913832,2.0426080740443084,0.0422978851057447,2.0962971616668167,0.0389980500974951,0.0190033261991575,0.0195980596311907
Chromatin,ATAC,GSE332758,osteogen,MSC-Linie,1,biologische Linie,"ATAC-seq, BigWig",ATAC GSE332758 osteogen (n=1),1.442056911020014,0.151392430378481,18,5.892680296240233,9.99950002499875e-05,173,0.6860000000000002,1.655925842083083,False,12.0860742366896,9.99950002499875e-05,2.2172404143157136,0.0256987150642467,0.1074198502592925,0.032727326108944,4.165927504825813,0.0001999900004999,4.614391621276293,9.99950002499875e-05,0.0375599086700605,0.0416221105636867
Chromatin,ATAC,GSE332758,adipogen,MSC-Linie,1,biologische Linie,"ATAC-seq, BigWig",ATAC GSE332758 adipogen (n=1),4.219664381038177,9.99950002499875e-05,18,4.8890533313506985,9.99950002499875e-05,173,0.0010000000000000009,4.133876459378316,True,15.29415972123665,9.99950002499875e-05,2.279619617953528,0.0212989350532473,0.1397593798163203,0.0220104704539511,2.622104380091592,0.0084995750212489,3.2453191179459906,0.0009999500024998,0.0229431820148723,0.0287487622348554
Chromatin,H3K27ac,GSE129031,chondrogen,BM-MSC,2,Donorlinien,H3K27ac ChIP-seq,H3K27ac GSE129031 chondrogen (n=2),3.944409595293953,0.0001999900004999,12,4.878168164032464,9.99950002499875e-05,173,0.0014999999999999458,,,13.120101631492837,9.99950002499875e-05,1.5485648681327209,0.1213939303034848,0.1217280893909765,0.0086831492428832,1.5500483809901957,0.1222938853057347,2.119597720903142,0.0370981450927453,0.0137317984888833,0.0189277705706301
Methylierung,DNAm 450K,GSE129266,chondrogen,BM-MSC,2,gepaarte Donoren,Illumina 450K,DNAm GSE129266 chondrogen (n=2),2.9356790949193954,0.0028998550072496,12,1.842426898060967,0.0659967001649917,161,0.006000000000000005,3.905002241639428,True,-3.87290745944682,1.0,-1.192196448896782,1.0,-0.0407398765276741,-0.0078317603313464,1.2644010459666897,0.2072896355182241,1.2162798843464848,0.2214889255537223,0.0114465320875123,0.0100271793303522
Methylierung,DNAm 27K,GSE33896,osteogen,hASC,3,gepaarte Donoren,Illumina 27K,DNAm GSE33896 osteogen (n=3),-1.57651256422564,1.0,16,0.5354865413705456,0.5895705214739263,126,0.9645000000000001,,,2.841481542017855,0.0040997950102494,-1.461501349690893,1.0,0.0297183446194256,-0.0214206973492216,0.1681374928471668,0.8663566821658917,0.319493047316699,0.7477626118694065,0.0042713739241686,0.0057390758108614
Methylierung,DNAm 27K,GSE33896,myogen,hASC,3,gepaarte Donoren,Illumina 27K,DNAm GSE33896 myogen (n=3),-0.2115366197279465,1.0,16,-1.5090127375448792,1.0,126,0.36050000000000004,,,0.6817603687309803,0.4987750612469376,0.1563092876176945,0.8747562621868906,0.0066780454132739,-0.0173429535972136,1.359296474598398,0.1692915354232288,1.3877085611313136,0.1693915304234788,0.0178161693701945,0.0183995917452187
