go,name,k,n,hg,hgn,OR,lo,hi,p
GO:0030198,extracellular matrix organization,8,129,245,12563,3.40196180564461,1.41964212645161,7.02805300298265,0.0037530108724276
GO:0031960,response to corticosteroid,4,129,108,12563,3.79311274479701,0.999015783418805,10.2460543008321,0.0250770902585636
GO:0051216,cartilage development,4,129,156,12563,2.58531166423804,0.684842320980695,6.92388359027003,0.0768585302603406
GO:0051384,response to glucocorticoid,3,129,93,12563,3.26501143819456,0.652276996044824,10.0710699591291,0.0705683583628091
GO:0001503,ossification,4,129,327,12563,1.19983065189002,0.319948523049644,3.17958420409752,0.580486184334357
GO:0007049,cell cycle,13,129,1362,12563,0.920890563251667,0.474693753627862,1.64326108480526,0.887173153512589
GO:0030198,"ECM organization, glucocorticoid genes removed",7,118,234,12033,3.25,1.26,7.02,0.008177
