dataset,n_units,n_module,n_measurable,n_matching,share_match,null_mean,null_sd,z,p_perm_two_sided,p_perm_upper,mde80,above_mde80
GSE185951,5,173,173,149,0.861271676300578,0.49993236994219653,0.2517484678981399,1.4353187901210311,0.155,0.0914,1.2048280800569884,False
GSE161176,3,173,170,112,0.6473988439306358,0.4868976878612717,0.16888229031685537,0.950372924053987,0.4961,0.3716,0.9597681007484666,False
GSE113253,9,173,125,103,0.5953757225433526,0.36002138728323696,0.15136312303800264,1.554898779414226,0.0462,0.03,0.7838381317896443,False
GSE210984,3,173,173,135,0.7803468208092486,0.49770635838150284,0.21038714147514959,1.343430308744085,0.1235,0.1235,1.0867903545119217,False
GSE202080,11,173,173,150,0.8670520231213873,0.49547341040462434,0.2338948102501943,1.5886569365061587,0.0815,0.0454,1.1503788791051683,False
GSE37521,2,173,163,59,0.34104046242774566,0.3863514450867052,0.14747035584435492,-0.3072548540316961,1.0,0.7534,0.799268441450899,False
