dataset,n_units,observed_z,source
GSE185951,5,1.4353187901210311,S12 corrected fixed-173
GSE161176,3,0.950372924053987,S12 corrected fixed-173
GSE113253,9,1.554898779414226,S12 corrected fixed-173
GSE210984,3,1.343430308744085,S12 corrected fixed-173
GSE202080,11,1.5886569365061587,S12 corrected fixed-173
GSE37521,2,-0.3072548540316961,S12 corrected fixed-173
GSE12266,4,0.3997966784917925,search extension
GSE18043,3,1.175994671769514,search extension
GSE63754,3,1.199210197797796,search extension
