schluessel,peaks,peaks_kurz,filter,normierung,n,konkordanz,konkordanz_null,konkordanz_null_sd,konkordanz_z,konkordanz_p,rang,rang_z,rang_p,wilson_lo,wilson_hi
alle Peaks | ungefiltert | CPM,alle Peaks,alle Peaks,ungefiltert,CPM,168,0.5773809523809523,0.4929761904761904,0.0378554218200229,2.22966111184944,0.0326983650817459,0.0441698168810844,3.129266521415954,0.0015999200039998,0.5017727861422681,0.6495293432606237
alle Peaks | ungefiltert | CPM+Quantil,alle Peaks,alle Peaks,ungefiltert,CPM+Quantil,168,0.5714285714285714,0.48728125,0.038074164173034,2.210089788081772,0.031898405079746,0.0606160151541943,3.717335795942906,0.0002999850007499,0.4958225688755396,0.6438409351886684
alle Peaks | Peakfilter | CPM,alle Peaks,alle Peaks,Peakfilter,CPM,168,0.5773809523809523,0.4978565476190476,0.038111639769908,2.0866172445483464,0.0416979151042447,0.0474092662957291,3.1467625836748674,0.0011999400029998,0.5017727861422681,0.6495293432606237
alle Peaks | Peakfilter | CPM+Quantil,alle Peaks,alle Peaks,Peakfilter,CPM+Quantil,168,0.5654761904761905,0.4894872023809524,0.0387177008847554,1.9626420567022256,0.0620968951552422,0.0613289537252925,3.61634828726574,0.0002999850007499,0.4898830281399178,0.6381418505856062
nur Promotorpeaks | ungefiltert | CPM,nur Promotorpeaks,Promotor,ungefiltert,CPM,162,0.7037037037037037,0.6257799382716049,0.0333668507819289,2.3353646989754666,0.0218989050547472,0.0734842263935633,3.328695581846188,0.0008999550022498,0.6293278402570788,0.7686422709815972
nur Promotorpeaks | ungefiltert | CPM+Quantil,nur Promotorpeaks,Promotor,ungefiltert,CPM+Quantil,162,0.5987654320987654,0.4983851851851852,0.0390978957910467,2.567407909879562,0.0123993800309984,0.0636625278794643,3.463667535117128,0.0009999500024998,0.5218428667762405,0.6711123386728146
nur Promotorpeaks | Peakfilter | CPM,nur Promotorpeaks,Promotor,Peakfilter,CPM,160,0.70625,0.6259953125,0.0332896309476205,2.410801358124893,0.015699215039248,0.0805130439518544,3.6660002201005546,0.0002999850007499,0.6315017419769028,0.7713263554049589
nur Promotorpeaks | Peakfilter | CPM+Quantil,nur Promotorpeaks,Promotor,Peakfilter,CPM+Quantil,160,0.6,0.5006378125,0.0396229521206658,2.5076926927960104,0.0165991700414979,0.0705984477124183,3.666123383618516,0.0003999800009999,0.5226034047446808,0.6727071879253126
