kennzahl,n_studien,beobachtet,null_mittel,null_sd,entartet,z,p,mde80,seed,nziehungen,groesse,n_studien_wirksam
S1,4,0.6830212951652688,-0.0028215916751542,0.41193158391111,False,1.6649436790659389,0.2493750624937506,1.1505868432759536,20260822,10000,Programm,2
S2,4,0.8034764074382408,0.803476407438241,2.220557079880142e-16,True,,,,20260822,10000,Programm,2
S3a,4,0.7686058700209643,0.5007632861635221,0.1337015837066039,False,2.003286546292516,0.016998300169983,0.8751277205420129,20260822,10000,Programm,4
S3b,4,0.9019916142557652,0.7486468029350105,0.0919454859503861,False,1.6677796602597723,0.2493750624937506,1.0060941635960916,20260822,10000,Programm,4
S1,3,0.1237865241586737,0.0006063505989061,0.0854056911336787,False,1.442294675268928,0.2541745825417458,0.2397422857732067,20260822,10000,Engineering-Antwort,2
S2,3,0.5339247385769195,0.5339247385769195,0.0,True,,,,20260822,10000,Engineering-Antwort,2
S3a,3,0.6834625322997416,0.5017352390180878,0.1481027184711648,False,1.227035500479592,0.157984201579842,0.9164228507373492,20260822,10000,Engineering-Antwort,3
S3b,3,0.7063953488372093,0.6668799741602067,0.0300480586788461,False,1.3150724677205652,0.2541745825417458,0.7510145384609761,20260822,10000,Engineering-Antwort,3
