dataset,label,n_donors,t_stat,t_p,wilcoxon_p,mean_diff,seed,score_per_donor
GSE247491,Chondrogenesis (SERPINA3 cohort),3,1.1443660018956407e-15,0.9999999999999992,1.0,1.1102230246251565e-16,20260826,"{""2454E"": -0.09145787823464296, ""2802F"": -0.10247077279104608, ""8A"": 0.19392865102568937}"
GSE247528,Osteogenesis (SERPINA3 cohort),3,1.5833755009520326e-16,0.9999999999999999,1.0,3.700743415417188e-17,20260826,"{""2454E"": -0.032324391509059164, ""2802F"": -0.38769222217303845, ""8A"": 0.42001661368209775}"
