groesse,zelle,S1,S1_null_mittel,S1_null_sd,S3a,S3a_null_mittel,S3a_null_sd,S1_z,S1_mde80,S1_ueber_mde80,S3a_z,S3a_mde80,S3a_ueber_mde80,studie,spender,achse,e2,herkunft,n_proben
Programm,GSE218101_Line4_chondr,0.15021919300143294,0.17334624852007574,0.041058996123259056,0.7421383647798742,0.5607540880502924,0.036699627294504336,-0.5632640274305638,0.28831143766520106,False,4.942401056937806,0.6635130444749044,True,GSE218101,GSE218101_Line4,chondrogen,True,Punkt der achtzehn,8
Programm,SERPINA3_D1_chondr,0.33525842371744485,0.26901745584172343,0.0399776184844842,0.6729559748427673,0.5506238993710504,0.03812530512792488,1.656951323937176,0.38095478759827917,False,3.208684496064918,0.65737475372924,True,GSE247491,SERPINA3_D1,chondrogen,False,"Abb. S3C, studienweise",6
Programm,SERPINA3_D2_chondr,0.4344808055683286,0.35464631549477177,0.03584733387359718,0.710691823899371,0.520888050314458,0.03852718838048584,2.22706911356545,0.4550188503408439,False,4.926489099345992,0.6287641777798183,True,GSE247491,SERPINA3_D2,chondrogen,False,"Abb. S3C, studienweise",6
Programm,SERPINA3_D3_chondr,0.3842640347409115,0.2635244906726831,0.04047755665627284,0.6415094339622641,0.4932893081760999,0.03905976324684791,2.982876291015389,0.376861649310247,True,3.7947010802254537,0.602656645267274,True,GSE247491,SERPINA3_D3,chondrogen,False,"Abb. S3C, studienweise",6
Programm,SERPINA3_D1_osteog,0.4565647819598363,0.3399309996637069,0.03549348126807123,0.7421383647798742,0.45140094339624004,0.03818933539101165,3.2860620634879605,0.43931274721430635,True,7.6130526600382495,0.5583310824910727,True,GSE247528,SERPINA3_D1,osteogen,False,"Abb. S3C, studienweise",6
Programm,SERPINA3_D2_osteog,0.375230527704435,0.2794619639046931,0.03751159269265481,0.6981132075471698,0.45882924528303026,0.038637502260687434,2.5530391253820173,0.38449442344412654,False,6.193049453603117,0.567014251612955,True,GSE247528,SERPINA3_D2,osteogen,False,"Abb. S3C, studienweise",6
Programm,LAMA5_USC_chondr,0.3403554063040986,0.25715276359356504,0.03575614732134762,0.9371069182389937,0.5700990566037479,0.035756679543309355,2.3269465237061153,0.3572699760933383,False,10.264036435226515,0.6702177593250142,True,LAMA5_USC,LAMA5_USC,chondrogen,False,zwei Punkte der achtzehn,12
Engineering-Antwort,SERPINA3_D1_chondr,0.10166842364683049,0.04720124457986863,0.040186034365341815,0.5058139534883721,0.49861715116278954,0.03774365794281579,1.3553758146869233,0.1597221408028257,False,0.1906758040380243,0.6042993934026737,False,GSE247491,SERPINA3_D1,chondrogen,False,"Abb. S3C, studienweise",6
Engineering-Antwort,SERPINA3_D2_chondr,0.0536981484494945,0.06824003998812063,0.039634345719584116,0.4476744186046512,0.4890526162790631,0.037999372518265837,-0.36690126390658934,0.17921620800295615,False,-1.088917919750436,0.5954508593302075,False,GSE247491,SERPINA3_D2,chondrogen,False,"Abb. S3C, studienweise",6
Engineering-Antwort,SERPINA3_D3_chondr,0.10645224433580255,0.029332226592876542,0.037763391442495735,0.6453488372093024,0.48124447674417753,0.037718805081090385,2.0421899304346285,0.1350697226318646,False,4.350730626601835,0.5868571309712306,True,GSE247491,SERPINA3_D3,chondrogen,False,"Abb. S3C, studienweise",6
Engineering-Antwort,SERPINA3_D1_osteog,0.12202934746464225,0.07751331954061222,0.0403841632368439,0.6511627906976745,0.48719505813952885,0.03811675666414725,1.102313985384659,0.19058897660377513,False,4.3017230978724434,0.5939219767991412,True,GSE247528,SERPINA3_D1,osteogen,False,"Abb. S3C, studienweise",6
Engineering-Antwort,SERPINA3_D2_osteog,0.04467976972947222,0.057022250590403153,0.04107372732603024,0.5116279069767442,0.48170377906976125,0.038075403464123664,-0.3004957588328965,0.17202868710328784,False,0.7859175526578148,0.5883149087693075,False,GSE247528,SERPINA3_D2,osteogen,False,"Abb. S3C, studienweise",6
Engineering-Antwort,LAMA5_USC_chondr,0.09718482252141983,0.0496089888496391,0.0376278867157388,0.936046511627907,0.4955087209302299,0.03787257026303506,1.2643769774049243,0.15496707165370774,False,11.632107027276604,0.6015519176667281,True,LAMA5_USC,LAMA5_USC,chondrogen,False,zwei Punkte der achtzehn,12
