ensembl,dWT_n,dWT_med,dWT_v,dWT_vz,dWT_kons,iv_n,iv_med,iv_v,iv_vz,iv_kons,basis_med,pool_anteil,symbol,im_modul,ri
ENSG00000187151,15,0.207839971687973,12,1,0.6000000000000001,15,0.700608416481884,8,1,0.06666666666666665,-0.648626806199462,0.4,ANGPTL5,False,
ENSG00000187187,18,1.0664949010677773,12,1,0.33333333333333326,18,-0.3806825636209565,11,-1,-0.22222222222222232,-0.5712236744199966,0.6111111111111112,ZNF546,False,
ENSG00000187189,16,0.043842663254596,9,1,0.125,16,0.0666907563887338,9,1,0.125,-0.11437413807422675,0.3125,TSPYL4,False,
ENSG00000187193,18,1.0238314541608584,14,1,0.5555555555555556,18,0.3410274087195365,12,1,0.33333333333333326,-0.8013283622278631,0.6111111111111112,MT1X,False,
ENSG00000187210,16,1.299513125934175,14,1,0.75,16,-0.488912328979194,11,-1,-0.375,-0.881203243857116,0.8125,GCNT1,False,
ENSG00000187231,16,0.952478477522141,14,1,0.75,16,0.21037575331754949,10,1,0.25,-0.723986621804475,0.75,SESTD1,False,
ENSG00000187239,16,0.667594353440777,11,1,0.375,16,-0.1592335397089896,9,-1,-0.125,-0.642625954522146,0.5625,FNBP1,False,
ENSG00000187240,16,-0.07771664438108435,9,-1,-0.125,16,0.185742528020105,10,1,0.25,-0.115806365837427,0.375,DYNC2H1,False,
ENSG00000187244,15,-0.784957444415104,12,-1,-0.6000000000000001,15,-0.533653037857974,12,-1,-0.6000000000000001,0.170153671244899,0.13333333333333333,BCAM,False,
ENSG00000187257,16,0.06241055750464185,10,1,0.25,16,-0.03207753396995565,8,1,0.0,-0.455929745487635,0.375,RSBN1L,False,
ENSG00000187266,15,-0.559958152081145,10,-1,-0.33333333333333326,15,-0.0576809417016073,8,-1,-0.06666666666666665,0.17578667832019,0.13333333333333333,EPOR,False,
ENSG00000187325,18,-0.7065930357843091,16,-1,-0.7777777777777777,18,0.24552674810373548,10,1,0.11111111111111116,0.348011938554695,0.1111111111111111,TAF9B,False,
ENSG00000187372,15,0.0025736100036482,8,1,0.06666666666666665,15,0.199781047965421,9,1,0.19999999999999996,0.299249774688851,0.3333333333333333,PCDHB13,False,
ENSG00000187391,16,1.197314297856555,13,1,0.625,16,0.0320723465007527,9,1,0.125,-0.778566803535887,0.6875,MAGI2,False,
ENSG00000187446,16,-0.208179069425612,9,-1,-0.125,16,0.09155233163922945,9,1,0.125,0.0576898450647506,0.375,CHP1,False,
ENSG00000187479,16,0.586907730741472,12,1,0.5,16,-0.215953021464834,9,-1,-0.125,-0.45969766468802004,0.5,C11orf96,False,
ENSG00000187498,16,0.22849169787756,10,1,0.25,16,-0.2898661304076955,9,-1,-0.125,-0.0263171601976314,0.4375,COL4A1,False,
ENSG00000187514,16,-0.3690901744819815,11,-1,-0.375,16,-0.659984937469416,11,-1,-0.375,0.45530691334894197,0.125,PTMA,False,
ENSG00000187522,16,-1.07179529419798,12,-1,-0.5,16,0.2794120119850555,11,1,0.375,0.3125244440127165,0.0625,HSPA14,False,
ENSG00000187531,16,-0.49399164396471495,11,-1,-0.375,16,-0.14862675087404476,9,-1,-0.125,0.2860042772417285,0.25,SIRT7,False,
ENSG00000187535,16,0.07278296218378585,11,1,0.375,16,0.46468129272913206,10,1,0.25,-0.215650875440589,0.25,IFT140,False,
ENSG00000187554,15,-0.537700077711858,12,-1,-0.6000000000000001,15,0.159709203600778,8,1,0.06666666666666665,-0.0910035343053837,0.2,TLR5,False,
ENSG00000187555,16,-1.35539517988389,12,-1,-0.5,16,-0.2445830853525685,10,-1,-0.25,0.4598127394364705,0.125,USP7,False,
ENSG00000187556,15,0.58058094396807,10,1,0.33333333333333326,15,-0.284704581786476,11,-1,-0.46666666666666656,0.0259078812234081,0.5333333333333333,NANOS3,False,
